detid,flow,city
STA4_D1a(KFZ1),160.64788732394365,frankfurt
STA4_D2(KFZ2),203.03496503496504,frankfurt
STA4_D2a(KFZ2),207.87234042553192,frankfurt
STA4_D4(KFZ4),147.1267605633803,frankfurt
STA4_D4a(KFZ4),104.94296577946768,frankfurt
STA4_D6(KFZ6),186.53763440860214,frankfurt
STA4_D6a(KFZ6),142.8,frankfurt
STA4_D8(KFZ8),203.42435424354244,frankfurt
STA4_D8a(KFZ8),241.06273062730628,frankfurt
STA4_D9(KFZ9),182.98932384341637,frankfurt
STA4_D9a(KFZ9),382.30388692579504,frankfurt
T1_D1,57.92805755395683,frankfurt
T1_D2,60.1294964028777,frankfurt
T1_D3,81.25190839694656,frankfurt
T1_D4,177.875,frankfurt
WL2_D1(KFZ1),37.92,frankfurt
WL2_D2(KFZ3),102.20224719101124,frankfurt
K105D2.1,93.19595862785033,hamburg
K105D2.2,50.589033984265804,hamburg
K1060D1.1,184.24077917930705,hamburg
K1060D1.2,201.97309596040236,hamburg
K1060D2.3,185.56761935174836,hamburg
K1060D2.4,220.86300494970462,hamburg
K1088D3.1,166.67025862068965,hamburg
K1088D3.2,142.02705938697318,hamburg
K113D1.1,99.84354732493864,hamburg
K113D2.2,48.92458741593662,hamburg
K113D2.3,52.44996108638822,hamburg
K113D2.4,69.74436750414081,hamburg
K113D2.5,48.13593821715791,hamburg
K113D3.6,29.97266069326096,hamburg
K113D3.7,109.52964418989842,hamburg
K1147D1.1,41.366370266759915,hamburg
K1147D2.1,51.95923668698172,hamburg
K1147D2.2,19.98201618543311,hamburg
K1147D2.3,59.9308622239984,hamburg
K1147D2.4,26.97252472774503,hamburg
K1147D3.1,48.64222200019982,hamburg
K1147D3.2,62.483364971525624,hamburg
K1147D4.1,58.81226895793785,hamburg
K1147D4.2,52.31411729443501,hamburg
K118D5.10,12.988168094655244,hamburg
K118D5.9,114.17054263565892,hamburg
K118D7.7,117.80252957976336,hamburg
K118D7.8,127.81476948184415,hamburg
K118D8.4,86.65769073847409,hamburg
K118D8.5,79.47123623011016,hamburg
K118D9.6,119.70053039575683,hamburg
K1224D1.7,113.98985951622277,hamburg
K1224D1.8,179.01641315457223,hamburg
K1224D2.10,154.24477444437764,hamburg
K1224D2.9,101.77318182729113,hamburg
K1225D1.1,164.63912374327916,hamburg
K1225D1.2,224.47962263396695,hamburg
K1225D1.3,68.53191021566629,hamburg
K1225D1.4,60.4397273690312,hamburg
K1225D3.1,65.27592892406707,hamburg
K1225D3.2,140.48769762747096,hamburg
K1225D3.3,77.93248186124603,hamburg
K1225D3.4,151.2518238692011,hamburg
K1225D3.5,231.5088645040075,hamburg
K1225D4.1,207.83714097259698,hamburg
K1225D4.2,213.74987507745197,hamburg
K131D2.3,134.51540045171993,hamburg
K131D2.4,93.66792588595071,hamburg
K131D6.1,358.03082089104754,hamburg
K131D6.2,376.1084127840739,hamburg
K135D1.1,254.79523276275796,hamburg
K135D1.2,330.8182690769477,hamburg
K135D1.3,311.3233882578787,hamburg
K135D2.4,185.13517837146057,hamburg
K135D2.5,352.51799712046073,hamburg
K135D2.6,339.22292433210686,hamburg
K135D3.7,220.0991841305391,hamburg
K148D3.5,134.0002933841866,hamburg
K1556D11.6,31.754704555885933,hamburg
K1556D3.1,139.14270319889846,hamburg
K1556D4.2,50.132705394025265,hamburg
K1556D9.3,401.83512602023507,hamburg
K1556D9.4,401.48430484324797,hamburg
K1556D9.5,198.96988685119035,hamburg
