name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
Zwartewaalstraat,7514255,residential,False,239.72,,"LINESTRING (4.4875388 51.8930704, 4.4872967 51.8934134, 4.4871803 51.8935784, 4.4867374 51.8942181, 4.4867354 51.8942354, 4.4867365 51.8942524, 4.4867472 51.8942688, 4.4867694 51.8942772, 4.487313 51.8944439, 4.4873306 51.8944535, 4.4873446 51.8944744, 4.4873409 51.8944893, 4.48706 51.8948622)",30,2,,,,,44276358,44284847,0,False,
Blankenburgstraat,7514318,residential,False,104.53999999999999,,"LINESTRING (4.4875388 51.8930704, 4.4875567 51.8930829, 4.4876 51.8931, 4.4877484 51.8931398, 4.4879641 51.8931977, 4.4883933 51.8933128, 4.4887174 51.8933973, 4.4888109 51.8934228, 4.4888454 51.8934363, 4.4889098 51.8934706)",30,2,,,,,44276358,44278315,0,False,
Blankenburgstraat,"[7514429, 7514318]",residential,False,5.156,,"LINESTRING (4.4875388 51.8930704, 4.4875213 51.893058, 4.4874815 51.8930409)",30,2,,,,,44276358,4881709916,0,False,
Hortensiastraat,7513543,residential,True,5.844,,"LINESTRING (4.4980298 51.8931164, 4.4979708 51.8931543)",30,,,,,,44276362,44276868,0,False,
2e Balsemienstraat,"[7513241, 7513242]",residential,False,98.05000000000001,,"LINESTRING (4.4980298 51.8931164, 4.4982014 51.8932081, 4.4982247 51.893212, 4.4986177 51.8932056, 4.4986416 51.8932, 4.4987084 51.8931502, 4.4987137 51.893132, 4.4986852 51.8929176, 4.4986709 51.8929036, 4.4984879 51.8927995)",30,,,,,,44276362,44275274,0,False,
Reeweg,243745095,secondary_link,True,12.742,yes,"LINESTRING (4.4284803 51.8703157, 4.4286653 51.8703248)",70,2,,,,,2511182477,2511182490,0,False,
Reeweg,"[7519055, 243745087]",secondary,True,27.313,yes,"LINESTRING (4.4284803 51.8703157, 4.4284348 51.8702338, 4.4283656 51.8700806)",80,,S101,,,,2511182477,2511182481,0,False,
Heinlantstraat,7329253,residential,True,44.049,,"LINESTRING (4.5043588 51.8930814, 4.5039342 51.8933785)",30,,,,,,44276367,44277887,0,False,
Andrej Sacharovstraat,7312109,residential,False,93.317,,"LINESTRING (4.5579866 51.9220543, 4.5577812 51.9228839)",,,,,,,44407439,1120035467,0,False,
Lilian Ngoyiweg,357374428,residential,False,61.198,,"LINESTRING (4.5579866 51.9220543, 4.557104 51.921973)",,,,,,,44407439,44407244,0,False,
Lilian Ngoyiweg,"[7312107, 357374428]",residential,False,61.187,,"LINESTRING (4.5579866 51.9220543, 4.5583662 51.9220846, 4.558871 51.922127)",,,,,,,44407439,44407944,0,False,
Randweg,7329427,tertiary,True,202.189,,"LINESTRING (4.5105412 51.8930063, 4.5124332 51.8916124)",50,,,,,,44276369,44268547,0,False,
Lumeystraat,656029039,residential,True,5.277,,"LINESTRING (4.4621 51.9286, 4.462149 51.9285634)",,,,,,,44440207,44439749,0,False,
Hadeburgstraat,329112562,residential,False,23.912,,"LINESTRING (4.4657692 51.8795261, 4.4657028 51.879485, 4.4655244 51.8793731)",,,,,,,6015228563,3359362821,0,False,
Schefferstraat,"[7525832, 255337452, 255337453]",residential,True,90.34700000000001,,"LINESTRING (4.4702706 51.9286955, 4.471064 51.9291811, 4.4711488 51.9292067, 4.4712023 51.9292379, 4.4712254 51.9292513)",30,,,,building_passage,,44440211,44443180,0,False,
Van der Sluysstraat,7525873,residential,True,191.33599999999998,,"LINESTRING (4.4702706 51.9286955, 4.4695004 51.9293268, 4.4694175 51.9293947, 4.4689817 51.929752, 4.4688603 51.9298515, 4.4685931 51.9300706)",30,,,,,,44440211,44447320,0,False,
Sportsingel,7328082,residential,False,57.859,,"LINESTRING (4.5334294 51.8930309, 4.5342448 51.8931633)",,,,,,,44276373,44276889,0,False,
Sportsingel,7328085,residential,False,56.433,,"LINESTRING (4.5334294 51.8930309, 4.5326355 51.8928985)",,,,,,,44276373,44275883,0,False,
Hockeystraat,7328115,residential,False,133.90300000000002,,"LINESTRING (4.5334294 51.8930309, 4.5331379 51.8937141, 4.5329539 51.8941987)",,,,,,,44276373,44282090,0,False,
Teilingerstraat,"[7525774, 7525895]",residential,False,107.40799999999999,,"LINESTRING (4.4755926 51.9286631, 4.4745795 51.9280888, 4.4745465 51.9280682, 4.4744273 51.9280191)",30,,,,,,44440213,44436709,0,False,
Teilingerstraat,7525900,residential,False,35.796,,"LINESTRING (4.4755926 51.9286631, 4.4756932 51.9287188, 4.4759338 51.9289056)",30,,,,,,44440213,1963540107,0,False,
"['Simonstraat', 'Benthemstraat']","[7525896, 128260147]",residential,True,188.99800000000002,,"LINESTRING (4.4755926 51.9286631, 4.476429 51.9281356, 4.4758473 51.927794, 4.4754819 51.9275793, 4.4754112 51.9275342, 4.4753858 51.9275179, 4.4753037 51.9274695)",30,,,,,,44440213,1419166889,0,True,
Spoorsingel,7525898,residential,True,127.976,,"LINESTRING (4.4666555 51.9286813, 4.4673075 51.9276029)",30,,,,,,44440208,44435022,0,False,
Walenburgerweg,7526942,tertiary,False,203.58300000000003,,"LINESTRING (4.4666555 51.9286813, 4.4661316 51.928247, 4.4648062 51.9272495)",50,,,,,,44440208,44432954,0,False,
Walenburgerweg,"[7525593, 510811502]",tertiary,False,53.702,,"LINESTRING (4.4666555 51.9286813, 4.4667474 51.9287619, 4.4671294 51.9290657)",50,,,,,,44440208,44442227,0,False,
"['Willem Barentszstraat', 'Reeweg']","[7519054, 7519055]",secondary,True,362.5519999999999,yes,"LINESTRING (4.4283656 51.8700806, 4.4282054 51.8697231, 4.4281424 51.8696113, 4.4280685 51.8694944, 4.4280158 51.8694162, 4.4279735 51.8693613, 4.4279062 51.8692957, 4.4278462 51.8692436, 4.427786 51.8691985, 4.4277258 51.8691543, 4.427635 51.8690928, 4.4275347 51.8690316, 4.4274423 51.8689832, 4.4273472 51.8689365, 4.4272209 51.8688846, 4.4270994 51.8688431, 4.4270145 51.8688179, 4.426922 51.8687964, 4.4267531 51.8687615, 4.4266437 51.868741, 4.4265238 51.8687225, 4.4264363 51.8687134, 4.4263198 51.8687065, 4.4262061 51.8687029, 4.4260733 51.8687046, 4.4259264 51.86871, 4.425797 51.8687195, 4.4256215 51.8687395, 4.4254354 51.8687628, 4.4253128 51.8687808, 4.4250089 51.8688328, 4.4246755 51.8688907, 4.424359 51.8689429)","['80', '50']",,S101,,,,2511182481,735631858,0,True,
